Question,Main problem in the question,Type of problem,Source,Source URL
"My father was diagnosed with Huntington’s disease at 50, what are my chances of inheriting it?",Huntington’s disease,Genetic risk,NIH National Institute of Neurological Disorders and Stroke,https://www.ninds.nih.gov/health-information/disorders/huntingtons-disease
Can genetic testing confirm if I’ll develop early-onset Alzheimer’s?,Early-onset Alzheimer’s,Genetic diagnosis,NIH National Institute on Aging,https://www.nia.nih.gov/health/alzheimers-disease-genetics
Is there a genetic link to Parkinson’s disease?,Parkinson’s disease,Genetic association,NIH National Institute of Neurological Disorders and Stroke,https://www.ninds.nih.gov/health-information/disorders/parkinsons-disease
How do I manage the risk of familial hypercholesterolemia?,Familial hypercholesterolemia,Risk management,CDC,https://www.cdc.gov/genomics/disease/familial_hypercholesterolemia.htm
"If I don’t have symptoms yet, should I still get tested for adult-onset genetic disorders?",Adult-onset disorders,Preventive testing,NIH,https://www.nih.gov/
What is the inheritance pattern of Gaucher disease?,Gaucher disease,Inheritance pattern,NIH National Institute of Neurological Disorders and Stroke,https://rarediseases.info.nih.gov/diseases/6261/gaucher-disease
How is phenylketonuria (PKU) detected in families?,Phenylketonuria (PKU),Detection,NIH National Institute of Child Health and Human Development,https://www.nichd.nih.gov/health/topics/phenylketonuria
Are metabolic disorders always apparent in childhood?,Metabolic disorders,Symptom onset,Genetics Home Reference,https://medlineplus.gov/genetics/condition/metabolic-disorders/
Can enzyme replacement therapy cure metabolic conditions?,Metabolic conditions,Treatment options,NIH,https://www.nih.gov/
"If I’m a carrier for a metabolic disorder, will my child definitely have it?",Metabolic disorder carrier,Inheritance risk,NIH,https://www.nih.gov/
What genetic tests are available during pregnancy?,Prenatal testing,Testing options,ACOG,https://www.acog.org/womens-health/faqs/prenatal-genetic-testing
How accurate is chorionic villus sampling (CVS) for detecting chromosomal abnormalities?,CVS testing,Diagnostic accuracy,ACOG,https://www.acog.org/womens-health/faqs/diagnostic-genetic-testing
Can ultrasound findings suggest a genetic condition?,Ultrasound,Early detection,March of Dimes,https://www.marchofdimes.org/pregnancy/ultrasound.aspx
How do I know if my baby is at risk for Down syndrome?,Down syndrome,Risk assessment,CDC,https://www.cdc.gov/ncbddd/birthdefects/downsyndrome.html
What are the risks of amniocentesis?,Amniocentesis,Procedure risk,ACOG,https://www.acog.org/womens-health/faqs/amniocentesis
Is schizophrenia inherited from parents?,Schizophrenia,Genetic inheritance,NIH,https://www.nimh.nih.gov/health/topics/schizophrenia
Are there genes linked to bipolar disorder?,Bipolar disorder,Genetic association,NIMH,https://www.nimh.nih.gov/health/topics/bipolar-disorder
How much of depression is genetic versus environmental?,Depression,Risk factors,NIH,https://www.nimh.nih.gov/health/topics/depression
Can genetic testing predict autism spectrum disorder?,Autism spectrum disorder,Predictive testing,CDC,https://www.cdc.gov/ncbddd/autism/index.html
Is there a way to know if my child is predisposed to ADHD?,ADHD,Risk prediction,CDC,https://www.cdc.gov/ncbddd/adhd/index.html
What genes are linked to cystic fibrosis?,Cystic fibrosis,Genetic link,CDC,https://www.cdc.gov/cf/index.html
How does sickle cell anemia run in families?,Sickle cell anemia,Inheritance pattern,CDC,https://www.cdc.gov/ncbddd/sicklecell/index.html
Is Duchenne muscular dystrophy always inherited from the mother?,Duchenne muscular dystrophy,Inheritance,NIH,https://www.ninds.nih.gov/health-information/disorders/duchenne-and-becker-muscular-dystrophy
Can Tay-Sachs disease be prevented through genetic screening?,Tay-Sachs disease,Prevention,NIH,https://www.ninds.nih.gov/health-information/disorders/tay-sachs-disease
How is Marfan syndrome diagnosed genetically?,Marfan syndrome,Genetic diagnosis,NIH,https://www.nhlbi.nih.gov/health-topics/marfan-syndrome
Can alcohol consumption during pregnancy cause genetic problems?,Alcohol exposure,Teratogenic risk,CDC,https://www.cdc.gov/ncbddd/fasd/alcohol-use.html
Are certain medications linked to birth defects?,Medications,Teratogenic risk,FDA,https://www.fda.gov/drugs
What environmental factors are considered teratogens?,Environmental factors,Teratogenic agents,CDC,https://www.cdc.gov/ncbddd/birthdefects/environmental.html
Can exposure to chemicals affect my baby’s DNA?,Chemical exposure,Genetic risk,EPA,https://www.epa.gov/pesticides
Is smoking a risk factor for genetic abnormalities in babies?,Smoking,Teratogenic risk,CDC,https://www.cdc.gov/tobacco/basic_information/health_effects/pregnancy/index.htm
What is the genetic basis of thalassemia?,Thalassemia,Genetic basis,CDC,https://www.cdc.gov/ncbddd/thalassemia/index.html
How is sickle cell disease inherited?,Sickle cell disease,Inheritance pattern,NIH,https://www.nih.gov/
Can hemophilia carriers be detected before pregnancy?,Hemophilia,Carrier detection,CDC,https://www.cdc.gov/ncbddd/hemophilia/index.html
What is the role of genetic counselling in clotting disorders?,Clotting disorders,Genetic counselling,NIH,https://www.nhlbi.nih.gov/health-topics/bleeding-disorders
Are blood disorders always passed on to children?,Blood disorders,Inheritance risk,NIH,https://www.nih.gov/
Is epilepsy ever genetic?,Epilepsy,Genetic association,CDC,https://www.cdc.gov/epilepsy/index.html
How do you test for Charcot-Marie-Tooth disease?,Charcot-Marie-Tooth disease,Testing,NIH,https://rarediseases.info.nih.gov/diseases/6767/charcot-marie-tooth-disease
Are there genetic markers for multiple sclerosis?,Multiple sclerosis,Genetic markers,NIH,https://www.nationalmssociety.org/What-is-MS
What is the inheritance of spinal muscular atrophy (SMA)?,SMA,Inheritance pattern,NIH,https://www.ninds.nih.gov/health-information/disorders/spinal-muscular-atrophy
Can migraines have a genetic cause?,Migraines,Genetic link,NIH,https://www.ninds.nih.gov/health-information/disorders/migraine
Is retinitis pigmentosa inherited?,Retinitis pigmentosa,Inheritance,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/retinitis-pigmentosa
Can glaucoma be passed down through families?,Glaucoma,Inheritance,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/glaucoma
How is congenital cataract linked to genetics?,Congenital cataract,Genetic association,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/cataracts
Are there tests for inherited blindness?,Inherited blindness,Testing,NEI,https://www.nei.nih.gov/
What is the risk of my child developing colour blindness?,Colour blindness,Risk assessment,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/color-blindness
What biochemical tests confirm genetic metabolic disorders?,Genetic metabolic disorders,Testing,NIH,https://www.nih.gov/
How do biochemical markers help in diagnosis of lysosomal storage diseases?,Lysosomal storage diseases,Diagnostic markers,NIH,https://rarediseases.info.nih.gov/diseases/6073/lysosomal-storage-diseases
Can biochemical screening replace genetic testing?,Biochemical screening,Testing methods,NIH,https://www.nih.gov/
Which biochemical pathways are affected in mitochondrial diseases?,Mitochondrial diseases,Affected pathways,NIH,https://www.ninds.nih.gov/health-information/disorders/mitochondrial-diseases
Are enzyme activity tests useful in newborn screening?,Newborn screening,Testing usefulness,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
What is preimplantation genetic testing (PGT)?,PGT,Testing method,American Society for Reproductive Medicine,https://www.asrm.org/topics/topics-index/preimplantation-genetic-testing/
Can PGT detect chromosomal abnormalities?,Chromosomal abnormalities,Detection,NIH,https://www.nih.gov/
How does PGT help couples with recurrent miscarriages?,Recurrent miscarriages,Risk management,NIH,https://www.nih.gov/
What is the difference between PGT-A and PGT-M?,PGT types,Testing methods,NIH,https://www.nih.gov/
Is PGT recommended for all couples planning pregnancy?,PGT recommendation,Testing advice,NIH,https://www.nih.gov/
Can IVF combined with genetic testing prevent inherited disorders?,IVF,Prevention,CDC,https://www.cdc.gov/art/index.html
How are embryos screened for genetic abnormalities?,Embryo screening,Testing process,NIH,https://www.nih.gov/
Does preimplantation testing guarantee a healthy baby?,Preimplantation testing,Effectiveness,NIH,https://www.nih.gov/
What are the risks of using ART with genetic selection?,ART,Procedure risk,NIH,https://www.nih.gov/
Can donor gametes reduce genetic disease risk?,Donor gametes,Risk reduction,NIH,https://www.nih.gov/
Is hypertrophic cardiomyopathy inherited?,Hypertrophic cardiomyopathy,Inheritance,NIH,https://www.nih.gov/
How is long QT syndrome passed through families?,Long QT syndrome,Inheritance,NIH,https://www.nih.gov/
Are there genetic causes of congenital heart defects?,Heart defects,Genetic causes,CDC,https://www.cdc.gov/ncbddd/heartdefects/index.html
Can I be tested for risk of sudden cardiac death?,Sudden cardiac death,Risk testing,NIH,https://www.nhlbi.nih.gov/health-topics/sudden-cardiac-death
Does family history of heart disease always mean genetic predisposition?,Heart disease,Genetic link,NIH,https://www.nih.gov/
What is BRCA testing and who should get it?,BRCA testing,Testing advice,NIH,https://www.cancer.gov/about-cancer/causes-prevention/genetics/brca-fact-sheet
Does family history of breast cancer mean I’ll get it too?,Breast cancer,Risk assessment,NIH,https://www.nih.gov/
How does Lynch syndrome increase colon cancer risk?,Lynch syndrome,Risk increase,CDC,https://www.cdc.gov/cancer/lynch/index.htm
Are there genetic tests for childhood cancers?,Childhood cancers,Testing options,NIH,https://www.nih.gov/
Can lifestyle changes reduce inherited cancer risk?,Cancer risk,Prevention,NIH,https://www.nih.gov/
How is polycystic kidney disease inherited?,Polycystic kidney disease,Inheritance,NIH,https://www.niddk.nih.gov/health-information/kidney-disease/polycystic-kidney-disease
Can Alport syndrome be detected genetically?,Alport syndrome,Testing,NIH,https://www.ninds.nih.gov/health-information/disorders/alport-syndrome
Are kidney stones linked to genetics?,Kidney stones,Genetic association,NIH,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones
Does family history of kidney failure mean higher risk?,Kidney failure,Risk assessment,NIH,https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure
Can genetic counselling help in kidney transplant planning?,Kidney transplant,Genetic counselling,NIH,https://www.nih.gov/
What conditions are covered in newborn screening?,Newborn screening,Covered conditions,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
How is newborn screening different from genetic testing?,Newborn screening,Testing comparison,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
Can newborn screening detect cystic fibrosis?,Cystic fibrosis,Detection,CDC,https://www.cdc.gov/cf/index.html
What happens if my baby’s screening test is positive?,Screening results,Next steps,NIH,https://www.nih.gov/
Are false positives common in newborn screening?,Newborn screening,Test accuracy,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
What is in-utero gene therapy?,In-utero therapy,Treatment method,NIH,https://www.nih.gov/
Can surgery correct genetic disorders before birth?,Fetal surgery,Treatment options,March of Dimes,https://www.marchofdimes.org/complications/fetal-surgery.aspx
Are there therapies for spina bifida during pregnancy?,Spina bifida,Treatment options,CDC,https://www.cdc.gov/ncbddd/spinabifida/index.html
How safe is fetal transfusion for genetic blood disorders?,Fetal transfusion,Procedure risk,March of Dimes,https://www.marchofdimes.org/
Can stem cells be used for fetal therapy?,Stem cells,Treatment research,NIH,https://stemcells.nih.gov/
What is the role of PCR in genetic testing?,PCR,Testing method,NIH,https://www.genome.gov/about-genomics/fact-sheets/PCR
How are mutations detected at the molecular level?,Mutations,Detection,NIH,https://www.genome.gov/about-genomics/fact-sheets/Mutation-Fact-Sheet
What is whole exome sequencing used for?,Exome sequencing,Testing purpose,NIH,https://www.genome.gov/about-genomics/fact-sheets/Exome-Sequencing-Fact-Sheet
Can molecular testing identify carriers in a family?,Carrier testing,Testing method,ACOG,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/03/carrier-screening-for-genetic-conditions
What is the difference between gene panel and whole genome sequencing?,Genetic testing,Method comparison,NIH,https://www.nih.gov/
What genetic disorders are most common in children?,Genetic disorders,Common conditions,CDC,https://www.cdc.gov/ncbddd/genetics/index.html
How do I know if my child’s developmental delay is genetic?,Developmental delay,Genetic cause,NIH,https://www.nih.gov/
Can short stature be related to a genetic condition?,Short stature,Genetic association,NIH,https://www.nih.gov/
Are learning disabilities always inherited?,Learning disabilities,Inheritance risk,NIH,https://www.nih.gov/
How do genetic counsellors support children with rare diseases?,Rare diseases,Counselling support,NIH,https://www.nih.gov/
What kinds of DNA tests are used for genetic counselling?,DNA tests,Testing types,NIH,https://www.nih.gov/
How reliable are at-home DNA test kits?,DNA kits,Test accuracy,NIH,https://www.nih.gov/
Can DNA testing reveal ancestry and disease risk together?,DNA testing,Testing scope,NIH,https://www.nih.gov/
Is whole genome sequencing affordable and necessary?,Genome sequencing,Testing feasibility,NIH,https://www.genome.gov/about-genomics/fact-sheets/Whole-Genome-Sequencing-Fact-Sheet
How is consent handled for genetic DNA testing?,Genetic testing,Consent process,NIH,https://www.nih.gov/